CustomerID,Age,Gender,Country,AcquisitionChannel,SignupDate
C00001,27.0,Female,US,Paid Social,2023-04-11 00:00:00
C00002,42.0,Female,SE,Organic,2025-05-22 00:00:00
C00003,,Male,US,Referral,2025-01-07 00:00:00
C00004,31.0,F,NL,Partner,2024-05-09 00:00:00
C00005,33.0,Female,ES,Email,2024-05-03 00:00:00
C00006,36.0,Male,US,Paid Social,2025-08-25 00:00:00
C00007,40.0,Non-binary,US,Organic,2023-04-07 00:00:00
C00008,25.0,Female,CA,Organic,2025-02-24 00:00:00
C00009,25.0,,GB,Organic,2023-08-16 00:00:00
C00010,44.0,Female,US,Email,2023-04-17 00:00:00
C00011,30.0,Prefer not to say,PT,Email,2024-08-16 00:00:00
C00012,21.0,Female,US,Paid Search,2026-01-04 00:00:00
C00013,38.0,Female,IT,Paid Search,2025-04-09 00:00:00
C00014,38.0,Female,US,Paid Search,2025-05-07 00:00:00
C00015,20.0,Male,PT,Organic,2025-03-19 00:00:00
C00016,36.0,Female,US,Email,2025-06-04 00:00:00
C00017,41.0,Male,GB,E-mail,2024-08-01 00:00:00
C00018,37.0,Female,DE,Paid Search,05/25/2023
C00019,40.0,Female,US,Paid Search,2025-08-04 00:00:00
C00020,21.0,male ,IT,Partner ,2024-05-22 00:00:00
C00021,37.0,Female,US,Paid Search,2024-07-17 00:00:00
C00022,31.0,Female,DE,,2024-02-22 00:00:00
C00023,30.0,Male,DE,Organic,2023-07-25 00:00:00
C00024,42.0,Male,FR,Paid Social,2025-11-10 00:00:00
C00025,47.0,Male,US,Paid Search,2025-05-30 00:00:00
C00026,50.0,Female,US,Organic,2024-12-26 00:00:00
C00027,46.0,Male,US,Organic,2024-03-29 00:00:00
C00028,33.0,Male,CA,Organic,2025-07-16 00:00:00
C00029,37.0,Female,US,Organic,2024-09-06 00:00:00
C00030,41.0,Male,PL,Paid Search,2024-05-14 00:00:00
C00031,35.0,Male,DE,Referral,2024-05-22 00:00:00
C00032,,Male,FR,Referral,09/14/2023
C00033,41.0,Male,DEU,Email,2023-04-14 00:00:00
C00034,33.0,Female,US,Paid Search,2024-09-17 00:00:00
C00035,27.0,Male,DE,Referral,2025-09-27 00:00:00
C00036,30.0,Male,CA,Paid Social,03/13/2023
C00037,40.0,Non-binary,CA,Organic,2025-08-25 00:00:00
C00038,12.0,Female,GB,Paid Search,21.07.2025
C00039,37.0,Female,DE,Paid Social,2023-11-08 00:00:00
C00040,40.0,Female,PT,Referral,2024-12-12 00:00:00
C00041,31.0,Female,US,Paid Search,2023-07-06 00:00:00
C00042,41.0,Male,DE,Organic,2025-05-04 00:00:00
C00043,37.0,Female,US,Email,2025-02-28 00:00:00
C00044,23.0,Female,CA,Organic,2024-02-04 00:00:00
C00045,47.0,F,ES,Email,2023-03-18 00:00:00
C00046,29.0,Male,US,Referral,2025-12-29 00:00:00
C00047,19.0,Male,USA,Partner,2024-05-17 00:00:00
C00048,25.0,Female,GB,E-mail,2025-10-03 00:00:00
C00049,25.0,Female,US,Organic,2025-02-03 00:00:00
C00050,34.0,Female,PL,Paid Social,2025-05-27 00:00:00
C00051,32.0,Male,GB,Referral,2025-05-06 00:00:00
C00052,31.0,Male,IT,Referral,2023-08-08 00:00:00
C00053,40.0,Male,GB,Organic,2024-02-15 00:00:00
C00054,37.0,Female,PL,Organic,2024-06-09 00:00:00
C00055,37.0,Female,CA,Paid Search,2024-07-15 00:00:00
C00056,38.0,Female,GB,Paid Search,2023-02-19 00:00:00
C00057,40.0,Female,ES,Paid Social,2024-09-07 00:00:00
C00058,18.0,Female,CA,Partner,2023-06-23 00:00:00
C00059,31.0,Non-binary,GB,Referral,17.04.2025
C00060,18.0,Female,PT,Paid Social,2025-02-08 00:00:00
C00061,34.0,Male,DE,Organic,2025-11-05 00:00:00
C00062,34.0,Male,FR,Paid Search,2025-04-19 00:00:00
C00063,43.0,Male,FR,Paid Search,2024-02-18 00:00:00
C00064,45.0,Male,IT,Organic,2025-12-26 00:00:00
C00065,36.0,Male,FR ,Organic,2024-04-08 00:00:00
C00066,29.0,Non-binary,DE,Paid Search,2024-01-03 00:00:00
C00067,38.0,Male,CA,Organic,2025-10-17 00:00:00
C00068,29.0,Non-binary,US,Paid Social,2024-02-22 00:00:00
C00069,34.0,Female,FR,Organic,2023-03-28 00:00:00
C00070,43.0,Female,IT,Organic,2024-06-13 00:00:00
C00071,29.0,Female,GB,Organic,06/15/2025
C00072,41.0,Male,U.S.,Paid Social,2023-08-02 00:00:00
C00073,40.0,Female,CA,Paid Social,05.06.2024
C00074,25.0,Male,DE,Paid Search,2023-05-27 00:00:00
C00075,43.0,Non-binary,DEU,Organic,2025-02-12 00:00:00
C00076,40.0,Male,US,Email,2024-06-20 00:00:00
C00077,35.0,Male,FR,Referrral,2024-01-08 00:00:00
C00078,27.0,Female,ES,Paid Social,2023-09-13 00:00:00
C00079,26.0,Female ,PL,Paid Social,2024-09-28 00:00:00
C00080,29.0,Male,US,Referral,2025-01-24 00:00:00
C00081,39.0,Female,PL,Partner,2025-11-25 00:00:00
C00082,25.0,Male,FR,,2024-05-07 00:00:00
C00083,38.0,Female,ES,Referrral,2023-07-01 00:00:00
C00084,23.0,Male,US,Organic,2025-07-27 00:00:00
C00085,32.0,Male,DE,paid-social,2024-12-10 00:00:00
C00086,35.0,Male,FR,Paid Search,2025-02-28 00:00:00
C00087,56.0,Male,CA,Organic,2023-04-20 00:00:00
C00088,22.0,Male,GB,Email,2023-12-19 00:00:00
C00089,47.0,Male,DE,Partner,2025-05-15 00:00:00
C00090,35.0,Male,DE,Organic,2025-07-26 00:00:00
C00091,38.0,Male,US,Email,2024-05-05 00:00:00
C00092,35.0,NB,GB,Paid Search,2025-06-25 00:00:00
C00093,38.0,Male,US,organic,2025-08-06 00:00:00
C00094,33.0,male ,SE,Partner,2024-03-12 00:00:00
C00095,47.0,Female ,IE,Paid Search,2025-10-09 00:00:00
C00096,30.0,Female ,CA,Paid Search,2023-11-21 00:00:00
C00097,44.0,Female,US,Paid Social,2023-09-27 00:00:00
C00098,28.0,Male,US,Organic,2025-02-08 00:00:00
C00099,33.0,Female ,GB,Paid Search,2024-12-18 00:00:00
C00100,24.0,Female,NL,Paid Search,2023-06-07 00:00:00
C00101,38.0,Female,USA,Paid Social,07/27/2025
C00102,47.0,Female,US,Organic,2023-08-14 00:00:00
C00103,33.0,Male,US,Organic,06/26/2025
C00104,32.0,Female,US,Referrral,01/09/2023
C00105,24.0,Male,NL,organic,06/17/2025
C00106,32.0,Male,FR,Paid Search,2025-06-05 00:00:00
C00107,20.0,Male,DE,Referral,29.05.2025
C00108,26.0,Prefer not to say,CA,Referral,2025-01-19 00:00:00
C00109,36.0,Male,PL,Organic,2024-06-15 00:00:00
C00110,46.0,Female,CA,Partner,2025-03-05 00:00:00
C00111,59.0,Female,IT,Referral,2023-11-09 00:00:00
C00112,29.0,Female,SE,Paid Search,2025-05-29 00:00:00
C00113,47.0,Female,DE,Referral,2024-09-18 00:00:00
C00114,36.0,Female,SE,Referral,2024-06-01 00:00:00
C00115,33.0,Male, ES,Paid Social,2024-07-23 00:00:00
C00116,38.0,Male,FR,Paid Social,2024-10-02 00:00:00
C00117,35.0,Female,US,Referral,2023-02-11 00:00:00
C00118,35.0,Male,GB,Email,2023-06-07 00:00:00
C00119,30.0,Male,US,Paid Social,2023-10-04 00:00:00
C00120,21.0,Male,US,Referral,2023-05-10 00:00:00
C00121,20.0,Male,US,Referral,2024-05-10 00:00:00
C00122,40.0,Male,CA,Partner,2025-01-23 00:00:00
C00123,32.0,Male,DE,Email,2025-01-07 00:00:00
C00124,29.0,Female,GB,Organic,2024-06-14 00:00:00
C00125,,Male,CA,Organic,2025-08-21 00:00:00
C00126,41.0,Prefer not to say,PT,Paid Social,2024-09-29 00:00:00
C00127,36.0,Non-binary,PL,Paid Search,2023-03-31 00:00:00
C00128,28.0,Male,US,Paid Social,2025-05-12 00:00:00
C00129,45.0,F,GB,Referral,2024-10-09 00:00:00
C00130,48.0,Female,FR,Email,2024-12-16 00:00:00
C00131,38.0,Female,ES,Paid Search,2024-09-29 00:00:00
C00132,43.0,Male,GB,Referral,2024-09-15 00:00:00
C00133,45.0,Male,ES,Organic,13.04.2023
C00134,44.0,Male,US,Paid Social,2024-09-22 00:00:00
C00135,40.0,Female,CA,Organic,2025-06-14 00:00:00
