CustomerID,PlanType,MonthlyFee,ContractType,StartDate,EndDate
C00001,Basic,18.12,Quarterly,2023-04-23 00:00:00,
C00002,Pro,77.2,Month-to-Month,2025-05-25 00:00:00,
C00003,Standard,34.36,Month-to-Month,2025-01-16 00:00:00,2025-12-21 00:00:00
C00004,Basic,16.73,Annual,2024-05-20 00:00:00,
C00005,Basic,16.38,Annual,2024-05-11 00:00:00,
C00006,Basic,20.65,Quarterly,2025-09-02 00:00:00,
C00007,Basic,,Month-to-Month,2023-04-09 00:00:00,
C00008,Basic,21.96,Annual,03/10/2025,2025-08-10 00:00:00
C00009,Standard,36.72,Month-to-Month,2023-08-30 00:00:00,
C00010,Basic,21.64,Annual,04/27/2023,
C00011,Basic,18.45,Annual,2024-08-29 00:00:00,
C00012,Basic,16.62,Quarterly,2026-01-13 00:00:00,
C00013,Basic,20.95,Month-to-Month,2025-04-18 00:00:00,
C00014,Enterprise,221.32,Month-to-Month,2025-05-19 00:00:00,
C00015,Basic,17.62,Month-to-Month,2025-03-19,
C00016,Basic,18.5,Month-to-Month,06/07/2025,2025-12-12 00:00:00
C00017,Standard,36.17,Month-to-Month,2024-08-04 00:00:00,2024-12-12 00:00:00
C00018,Pro,78.24,Quarterly,2023-06-03 00:00:00,2023-12-02
C00019,Pro,79.68,Month-to-Month,2025-08-07 00:00:00,
C00020,Pro,76.78,Month-to-Month,27.05.2024,
C00021,Pro,67.5,Annual,2024-07-24 00:00:00,
C00022,Standard,37.19,Month-to-Month,2024-03-04 00:00:00,
C00023,Enterprise,210.2,Month-to-Month,2023-08-01 00:00:00,2023-12-31 00:00:00
C00024,Basic,18.68,Quarterly,2025-11-10,2025-12-31 00:00:00
C00025,basic,76.93,Month-to-Month,2025-06-09 00:00:00,
C00026,Pro,73.12,Month-to-Month,2025-01-01 00:00:00,
C00027,Std,75.14,Annual,2024-03-30 00:00:00,
C00028,Standard,43.4,Month-to-Month,2025-07-25 00:00:00,
C00029,Pro,71.8,Month-to-Month,2024-09-10 00:00:00,
C00030,Basic,20.1,Month-to-Month,20.05.2024,
C00031,Standard,39.15,Month-to-Month,2024-06-05 00:00:00,
C00032,Basic,19.37,Quarterly,2023-09-17 00:00:00,
C00033,Standard,36.72,Month-to-Month,2023-04-27 00:00:00,2024-02-06 00:00:00
C00034,Standard,37.9,Month-to-Month,2024-09-23 00:00:00,
C00035,Basic,18.99,Month-to-Month,2025-10-10 00:00:00,
C00036,Basic,18.21,Quarterly,2023-03-25 00:00:00,2023-11-03 00:00:00
C00037,Basic,19.5,Month-to-Month,2025-09-06 00:00:00,2026-01-01 00:00:00
C00038,Standard,40.43,Quarterly,07/24/2025,
C00039,Standard,45.78,Month-to-Month,2023-11-19 00:00:00,2025-01-29 00:00:00
C00040,Standard,39.87,Quarterly,2024-12-17 00:00:00,
C00041,Basic,16.09,Month-to-Month,2023-07-19 00:00:00,
C00042,Pro,86.35,Month-to-Month,2025-05-18 00:00:00,
C00043,Standard,,Month-to-Month,2025-03-09 00:00:00,2025-12-16 00:00:00
C00044,Basic,22.06,Month-to-Month,2024-02-17 00:00:00,
C00045,Basic,21.24,Annual,2023-03-25 00:00:00,
C00046,basic,37.42,Annual,2025-12-29 00:00:00,
C00047,Basic,20.1,Annual,2024-05-30 00:00:00,
C00048,Basic,,Month-to-Month,2025-10-10 00:00:00,2025-12-02 00:00:00
C00049,Basic,19.0,Annual,2025-02-03 00:00:00,
C00050,Basic,20.03,Month-to-Month,2025-05-27 00:00:00,
C00051,Basic,20.69,Quarterly,2025-05-16 00:00:00,
C00052,Basic,20.36,Annual,21.08.2023,
C00053,Pro,79.47,Annual,2024-02-25 00:00:00,
C00054,Standard,,Quarterly,2024-06-15 00:00:00,
C00055,Standard,37.86,,2024-07-19 00:00:00,
C00056,Standard,33.99,Annual,2023-02-25 00:00:00,2023-12-01 00:00:00
C00057,Standard,34.59,Month-to-Month,2024-09-11 00:00:00,
C00058,Pro+,21.24,Annual,2023-06-27 00:00:00,
C00059,Basic,18.88,Month-to-Month,2025-04-18 00:00:00,
C00060,Basic,19.24,Month-to-Month,2025-02-16 00:00:00,
C00061,Standard,37.31,Annual,2025-11-08 00:00:00,
C00062,Standard,37.59,Month-to-Month,2025-04-21 00:00:00,07.12.2025
C00063,Basic,17.8,Annual,2024-02-22 00:00:00,2025-07-12 00:00:00
C00064,basic,40.47,Month-to-Month,2026-01-06 00:00:00,
C00065,Enterprise,197.45,Month-to-Month,04/16/2024,2024-12-13 00:00:00
C00066,Basic,19.66,Quarterly,2024-01-10 00:00:00,2024-06-13 00:00:00
C00067,Standard,40.06,Month-to-Month,25.10.2025,
C00068,Standard,37.67,Annual,2024-03-01 00:00:00,
C00069,Standard,34.45,Annual,2023-04-04 00:00:00,
C00070,Standard,34.18,Quarterly,2024-06-25 00:00:00,2024-11-29 00:00:00
C00071,PRO ,48.44,Month-to-Month,2025-06-25 00:00:00,2025-11-01 00:00:00
C00072,Basic,21.25,Annual,08/04/2023,
C00073,Standard,43.18,Month-to-Month,2024-06-17 00:00:00,
C00074,Pro,74.74,Month-to-Month,2023-05-29 00:00:00,
C00075,Basic,19.01,Qtr,2025-02-13 00:00:00,
C00076,Enterprise,186.02,Month-to-Month,2024-06-26 00:00:00,
C00077,Basic,17.01,Month-to-Month,13.01.2024,
C00078,Standard,37.16,Month-to-Month,2023-09-24 00:00:00,
C00079,Standard,43.14,Month-to-Month,10/08/2024,2025-06-20 00:00:00
C00080,Standard,41.62,Annual,2025-01-24 00:00:00,
C00081,Pro,72.87,Month-to-Month,2025-12-02 00:00:00,
C00082,Ent,18.52,Month-to-Month,2024-05-18 00:00:00,
C00083,Standard,41.34,Month-to-Month,2023-07-11 00:00:00,
C00084,Standard,37.22,Month-to-Month,2025-08-03 00:00:00,
C00085,Ent,79.5,Annual,12/19/2024,
C00086,Standard,40.25,Quarterly,2025-03-08 00:00:00,
